날짜,수계,댐이름,금일 강우량,전일 강우량,금년 누계 강우량,전년 누계 강우량,예년 누계 강우량,전일 유입량,전일 방류량(본댐),전일 방류량(조정지),현재 저수위,전년 저수위,예년 저수위,현재 저수량,전년 저수량,예년 저수량,현재 저수율,발전량 실적,발전량 계획,발전량 계획대비,연간발전계획,연간계획대비
2020-11-30,한강,횡성,0.0,0.0,"1,422.9",878.4,"1,361.5",1.2,2.4,0.0,175.5,176.88,173.27,62.4,69.4,52,71.8,0.0,0.0,0.0,0.0,0.0
2020-11-30,한강,충주,0.0,0.0,"1,427.9",870.8,"1,187.6",21.0,79.8,82.8,134.73,135.96,132.23,"1,701.3","1,833.7","1,525.6",61.9,"722,975","425,832",169.8,"468,595",154.3
2020-11-30,기타,보령,0.0,0.0,"1,773.6",985.5,"1,318.3",0.8,3.3,0.0,70.73,64.46,67.81,72.6,45.8,60.3,62.1,0.0,0.0,0.0,0.0,0.0
2020-11-30,낙동강,안동,0.0,0.0,"1,369.8",990.0,"1,111.9",0.3,17.2,15.4,156.41,152.31,148.27,"1,032.8",844.9,683,82.8,"114,029","93,490",122.0,"100,005",114.0
2020-11-30,낙동강,밀양,0.0,0.0,"1,885.9","1,791.8","1,438.6",0.1,1.6,0.0,200.0,204.12,195.12,56.1,63.8,47.8,76.2,0.0,0.0,0.0,0.0,0.0
2021-01-12,한강,횡성,0.0,0.0,1.1,79.2,6.9,0.1,2.8,0.0,174.08,177.17,172.14,55.6,70.9,47.2,64,0.0,0.0,0.0,0.0,0.0
2021-01-12,한강,충주,0.0,0.0,0.8,60.7,8.5,5.8,74.9,78.6,130.45,135.08,129.83,"1,417.4","1,765.7","1,367.8",51.5,"13,320","15,339",86.8,"491,066",2.7
2021-01-12,기타,보령,0.0,0.0,4.8,82.3,11.4,0.1,3.5,0.0,68.44,65.56,66.4,62.9,50.6,54.2,53.8,0.0,0.0,0.0,0.0,0.0
2021-01-12,낙동강,안동,0.0,0.0,0.8,51.4,6.7,2.4,18.6,18.6,154.95,151.8,146.24,963.2,823.2,610.6,77.2,"2,594","2,176",119.2,"116,347",2.2
2021-01-12,낙동강,밀양,0.0,0.0,0.0,61.1,6.4,0.1,1.7,0.0,196.68,203.53,191.4,50.4,62.6,42,68.4,0.0,0.0,0.0,0.0,0.0
2022-03-12,한강,횡성,0.0,0.0,9.3,97.6,66.6,0.6,1.9,0.0,170.39,172.47,170.49,40.3,48.6,42.8,46.4,0.0,0.0,0.0,0.0,0.0
2022-03-12,한강,충주,0.0,0.0,5.7,86.6,67.7,11.2,63.1,65.9,124.84,126.66,126.48,"1,101.3","1,200.3","1,196.5",40,"74,156","69,286",107.0,"547,064",13.6
2022-03-12,기타,보령,0.0,0.0,8.4,98.2,78.4,1.4,3.0,0.0,62.03,65.69,64.72,36.1,51.1,52.6,30.9,0.0,0.0,0.0,0.0,0.0
2022-03-12,낙동강,안동,0.0,0.0,1.1,100.3,60.9,1.8,20.7,21.8,150.87,153.25,143.9,784.5,885.9,565,62.9,"16,666","11,257",148.1,"89,776",18.6
2022-03-12,낙동강,밀양,0.0,0.0,2.6,152.5,103.2,0.0,1.6,0.0,191.34,194.37,189.01,41.9,46.6,39.2,56.9,0.0,0.0,0.0,0.0,0.0
2023-01-05,한강,횡성,0.0,0.0,0.0,0.2,0.9,0.5,2.8,0.0,175.97,173.34,172.48,64.7,52.3,48.6,74.5,0.0,0.0,0.0,0.0,0.0
2023-01-05,한강,충주,0.0,0.0,0.0,0.1,2.3,22.9,56.7,70.7,134.95,131.09,130.3,"1,717.3","1,455.5","1,411.1",62.4,"3,252","3,486",93.3,"488,318",0.7
2023-01-05,기타,보령,0.0,0.0,0.0,0.0,2.4,0.4,3.5,0.0,65.79,64.3,66.54,49.8,45.1,52.8,42.6,0.0,0.0,0.0,0.0,0.0
2023-01-05,낙동강,안동,0.0,0.0,0.0,0.0,1.8,0.7,32.4,31.5,146.22,153.35,146.91,609.9,890.3,633.9,48.9,"1,382",630,219.3,"87,731",1.6
2023-01-05,낙동강,밀양,0.0,0.0,0.0,0.0,0.4,0.6,1.7,0.0,196.3,196.96,192.37,49.7,50.8,43.5,67.6,0.0,0.0,0.0,0.0,0.0
